team,part,pld,w,d,l,gf,ga,gd,pts
Germany (1934–1938),2,6,3,1,2,14,13,1,10
West Germany (1950–1990),10,62,36,14,12,131,77,54,122
Germany (1994–present),8,44,29,6,9,87,40,46,93
