team,part,pld,w,d,l,gf,ga,gd,pts,rank,date,venue,total_goals,score,team.1
Romania,7.0,21.0,8.0,5.0,8.0,30.0,32.0,−2,29.0,,,,,,
Russia,11.0,45.0,19.0,10.0,16.0,77.0,54.0,+23,67.0,,,,,,
Russia (1994–present),,,,,,,,,,,,,,,
Saudi Arabia,6.0,19.0,4.0,2.0,13.0,14.0,44.0,−30,14.0,,,,,,
Scotland,8.0,23.0,4.0,7.0,12.0,25.0,41.0,−16,19.0,,,,,,
Senegal,3.0,12.0,5.0,3.0,4.0,16.0,17.0,−1,18.0,,,,,,
Serbia,13.0,49.0,18.0,9.0,22.0,71.0,71.0,0,63.0,,,,,,
Serbia (2010–present),,,,,,,,,,,,,,,
Serbia and Montenegro (2006),,,,,,,,,,,,,,,
Slovakia,1.0,4.0,1.0,1.0,2.0,5.0,7.0,−2,4.0,,,,,,
Slovenia,2.0,6.0,1.0,1.0,4.0,5.0,10.0,−5,4.0,,,,,,
South Africa,3.0,9.0,2.0,4.0,3.0,11.0,16.0,−5,10.0,,,,,,
South Korea,11.0,38.0,7.0,10.0,21.0,39.0,78.0,−39,31.0,,,,,,
Soviet Union (1958–1990),,,,,,,,,,,,,,,
Spain,16.0,67.0,31.0,17.0,19.0,108.0,75.0,+33,110.0,,,,,,
Sweden,12.0,51.0,19.0,13.0,19.0,80.0,73.0,+7,70.0,,,,,,
Switzerland,12.0,41.0,14.0,8.0,19.0,55.0,73.0,−18,50.0,,,,,,
Togo,1.0,3.0,0.0,0.0,3.0,1.0,6.0,−5,0.0,,,,,,
Trinidad and Tobago,1.0,3.0,0.0,1.0,2.0,0.0,4.0,−4,1.0,,,,,,
Tunisia,6.0,18.0,3.0,5.0,10.0,14.0,26.0,−12,14.0,,,,,,
Turkey,2.0,10.0,5.0,1.0,4.0,20.0,17.0,+3,16.0,,,,,,
Ukraine,1.0,5.0,2.0,1.0,2.0,5.0,7.0,−2,7.0,,,,,,
United Arab Emirates,1.0,3.0,0.0,0.0,3.0,2.0,11.0,−9,0.0,,,,,,
United States,11.0,37.0,9.0,8.0,20.0,40.0,66.0,−26,35.0,,,,,,
Uruguay,14.0,59.0,25.0,13.0,21.0,89.0,76.0,+13,88.0,,,,,,
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
Wales,2.0,8.0,1.0,4.0,3.0,5.0,10.0,−5,7.0,,,,,,
West Germany (1950–1990),,,,,,,,,,,,,,,
Yugoslavia (1930–1990),,,,,,,,,,,,,,,
