rank,player,team(s),goals,matches,goals_per_game
1,Miroslav Klose,Germany,16,24,0.67
2,Ronaldo,Brazil,15,19,0.79
3,Gerd Müller,West Germany,14,13,1.08
4,Just Fontaine,France,13,6,2.17
4,Lionel Messi,Argentina,13,26,0.5
