rank,date,venue,winning_team,score,losing_team
1,29 June 1958,"Råsunda Stadium, Solna",Brazil,5–2,Sweden
1,21 June 1970,"Estadio Azteca, Mexico City",Brazil,4–1,Italy
1,12 July 1998,"Stade de France, Saint-Denis",France,3–0,Brazil
