home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Peru,Scotland,3,1,37927,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,03-06-1978,3–1,Argentina,1978,Joe Jordan · 14,"['43&rsquor;|1:1|César Cueto', '71&rsquor;|2:1|Teófilo Cubillas', '77&rsquor;|3:1|Teófilo Cubillas']",['14&rsquor;|0:1|Joe Jordan'],,,,,,,,,,,,,,,['19&rsquor;|0:1|José Velásquez'],,"['62&rsquor;|1:1|Hugo Sotil|for Guillermo La Rosa', '82&rsquor;|3:1|Percy Rojas|for César Cueto']","['75&rsquor;|2:1|Archie Gemmill', '75&rsquor;|2:1|Lou Macari|for Bruce Rioch']"
Netherlands,IR Iran,3,0,33431,"San Martin, Mendoza",First round,03-06-1978,3–0,Argentina,1978,,['62&rsquor;|2:0|Rob Rensenbrink'],,,,Rob Rensenbrink (P) · 40|Rob Rensenbrink (P) · 79,,,,,,,,,,,,,['1&rsquor;|0:0|Andranik Eskandarian'],['70&rsquor;|2:0|Dick Nanninga|for René van de Kerkhof'],['50&rsquor;|1:0|Hassan Rowshan|for Hossein Faraki']
Italy,France,2,1,42373,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,02-06-1978,2–1,Argentina,1978,Bernard Lacombe · 1,"['29&rsquor;|1:1|Paolo Rossi', '54&rsquor;|2:1|Renato Zaccarelli']",['1&rsquor;|0:1|Bernard Lacombe'],,,,,,,,,,,,,,,['35&rsquor;|1:1|Marco Tardelli'],"['1&rsquor;|0:1|Henri Michel', '60&rsquor;|2:1|Michel Platini']",['46&rsquor;|1:1|Renato Zaccarelli|for Giancarlo Antognoni'],"['74&rsquor;|2:1|Marc Berdoll', '76&rsquor;|2:1|Olivier Rouyer|for Didier Six']"
Tunisia,Mexico,3,1,17396,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",First round,02-06-1978,3–1,Argentina,1978,,"['55&rsquor;|1:1|Ali Kaabi', '79&rsquor;|2:1|Néjib Ghommidh', '87&rsquor;|3:1|Mokhtar Dhouieb']",,,,,Arturo Vázquez Ayala (P) · 45,,,,,,,,,,,,,"['81&rsquor;|2:1|Slah Karoui|for Abderraouf Ben Aziza', '88&rsquor;|3:1|Khemais Labidi']",['67&rsquor;|1:1|Gerardo Lugo Gómez|for Guillermo Mendizábal']
Argentina,Hungary,2,1,71615,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,02-06-1978,2–1,Argentina,1978,Károly Csapó · 10,"['15&rsquor;|1:1|Leopoldo Luque', '83&rsquor;|2:1|Daniel Bertoni']",['10&rsquor;|0:1|Károly Csapó'],,,,,,,,,,,,András Törőcsik · 88|Tibor Nyilasi · 89,,,['77&rsquor;|1:1|Daniel Passarella'],"['21&rsquor;|1:1|Tibor Nyilasi', '48&rsquor;|1:1|András Törőcsik']","['67&rsquor;|1:1|Daniel Bertoni|for René Houseman', '75&rsquor;|1:1|Norberto Alonso']",['46&rsquor;|1:1|Győző Martos|for Péter Török']
West Germany,Poland,0,0,67579,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",First round,01-06-1978,0–0,Argentina,1978,,,,,,,,,,,,,,,,,,,,,"['79&rsquor;|0:0|Zbigniew Boniek|for Włodzimierz Lubański', '84&rsquor;|0:0|Henryk Kasperczak|for Bohdan Masztaler']"
Netherlands,West Germany,1,2,78200,"Olympiastadion, Munich",Final,07-07-1974,1–2,Germany,1974,Gerd Müller · 43,,['43&rsquor;|1:2|Gerd Müller'],,,Johan Neeskens (P) · 2,Paul Breitner (P) · 25,,,,,,,,,,,"['22&rsquor;|1:0|Willem van Hanegem', '39&rsquor;|1:1|Johan Neeskens', '45&rsquor;|1:2|Johan Cruyff']",['3&rsquor;|1:0|Berti Vogts'],"['46&rsquor;|1:2|René van de Kerkhof|for Rob Rensenbrink', '68&rsquor;|1:2|Theo de Jong|for Wim Rijsbergen']",
Brazil,Poland,0,1,77100,"Olympiastadion, Munich",Third-place match,06-07-1974,0–1,Germany,1974,Grzegorz Lato · 76,,['76&rsquor;|0:1|Grzegorz Lato'],,,,,,,,,,,,,,,['76&rsquor;|0:1|Jairzinho'],['71&rsquor;|0:0|Henryk Kasperczak'],['66&rsquor;|0:0|Mirandinha|for Ademir da Guia'],"['73&rsquor;|0:0|Lesław Ćmikiewicz|for Henryk Kasperczak', '75&rsquor;|0:0|Zdzisław Kapka|for Andrzej Szarmach']"
Poland,West Germany,0,1,62000,"Waldstadion, Frankfurt/Main",Second round,03-07-1974,0–1,Germany,1974,Gerd Müller · 76,,['76&rsquor;|0:1|Gerd Müller'],,,,,,,,,,,,,,,,,"['80&rsquor;|0:1|Lesław Ćmikiewicz|for Henryk Kasperczak', '80&rsquor;|0:1|Kazimierz Kmiecik|for Zygmunt Maszczyk']",
Netherlands,Brazil,2,0,53700,"Westfalenstadion, Dortmund",Second round,03-07-1974,2–0,Germany,1974,,"['50&rsquor;|1:0|Johan Neeskens', '65&rsquor;|2:0|Johan Cruyff']",,,,,,,,,,,,,Luís Pereira · 84,,,"['1&rsquor;|0:0|Wim Suurbier', '69&rsquor;|2:0|Johnny Rep']","['29&rsquor;|0:0|Luís Pereira', '37&rsquor;|0:0|Zé Maria', '44&rsquor;|0:0|Marinho Peres']","['67&rsquor;|2:0|Theo de Jong', '85&rsquor;|2:0|Rinus Israël|for Johan Neeskens']",['61&rsquor;|1:0|Mirandinha|for Paulo Cézar Caju']
